years_experience,education_level,job_category,company_size,salary,num_employees
1,MBA,Software Developer,Large,54011,9275
4,Bachelor,Data Analyst,Small,36988,466
12,Bachelor,Data Scientist,Large,49520,3009
10,Bachelor,Data Analyst,Small,51292,171
20,PhD,QA Engineer,Large,77694,5022
13,PhD,QA Engineer,Large,58193,8949
14,Master,Business Analyst,Large,49665,9834
5,Bachelor,Software Developer,Medium,40968,1196
4,Master,Business Analyst,Small,40416,414
14,PhD,QA Engineer,Small,63427,249
10,Bachelor,Software Developer,Small,44986,361
17,Master,Project Manager,Medium,53251,1410
10,Bachelor,Data Scientist,Large,56487,7630
7,Bachelor,QA Engineer,Medium,45032,584
16,MBA,Project Manager,Medium,79562,1112
1,Master,Business Analyst,Large,31220,9529
17,PhD,Project Manager,Small,64707,344
9,Master,Business Analyst,Medium,48411,1857
6,Master,QA Engineer,Large,53192,7072
19,Master,Data Analyst,Large,72320,7065
13,MBA,Data Scientist,Small,65658,388
3,Bachelor,Project Manager,Large,40405,5363
7,PhD,Project Manager,Large,62850,9783
9,MBA,QA Engineer,Large,63384,7508
5,PhD,QA Engineer,Small,50129,315
10,MBA,Business Analyst,Small,70585,216
17,Bachelor,Software Developer,Large,48400,6658
12,PhD,Software Developer,Large,52187,9025
16,Master,Software Developer,Small,44665,208
3,MBA,Business Analyst,Small,63032,295
9,PhD,Software Developer,Small,65640,127
15,Bachelor,QA Engineer,Medium,54037,1141
5,PhD,Data Analyst,Small,59056,57
13,MBA,Data Analyst,Large,60859,8063
14,Bachelor,Data Analyst,Small,55785,437
20,Master,Software Developer,Large,65721,4074
15,MBA,Data Analyst,Large,69653,5642
16,MBA,Project Manager,Large,77021,3333
13,Bachelor,Software Developer,Small,60565,288
17,MBA,Project Manager,Small,80966,182
8,PhD,QA Engineer,Small,54562,469
2,Master,Project Manager,Small,40384,413
5,PhD,QA Engineer,Small,56105,311
6,Bachelor,Business Analyst,Medium,46177,716
12,MBA,Business Analyst,Small,66426,365
18,Master,Project Manager,Medium,71527,1294
1,Bachelor,Data Scientist,Large,36913,7019
17,PhD,QA Engineer,Large,74094,3475
11,MBA,Software Developer,Large,67512,6934
10,MBA,Data Scientist,Large,78947,5847
19,Bachelor,QA Engineer,Medium,60617,551
14,PhD,Software Developer,Medium,55607,1128
10,MBA,QA Engineer,Large,63706,5086
15,PhD,QA Engineer,Small,68344,271
19,Master,Software Developer,Large,71422,4024
4,MBA,QA Engineer,Large,61648,3308
2,Master,QA Engineer,Medium,37299,1062
9,MBA,QA Engineer,Large,66366,2742
10,Bachelor,Business Analyst,Medium,49912,1177
11,MBA,Data Analyst,Medium,73267,1384
14,MBA,QA Engineer,Large,79980,8344
7,PhD,Software Developer,Small,62674,407
15,PhD,Project Manager,Medium,65753,1542
19,Master,QA Engineer,Medium,55599,1117
15,Master,Business Analyst,Medium,63729,1507
8,Master,Business Analyst,Large,48133,3939
11,MBA,Project Manager,Large,77250,5264
9,MBA,QA Engineer,Medium,70088,657
15,Master,Data Scientist,Small,57925,150
1,Bachelor,Project Manager,Large,47787,5590
1,Bachelor,Data Analyst,Small,39515,154
19,MBA,Software Developer,Small,84918,488
3,Bachelor,Software Developer,Large,35884,9329
10,Bachelor,Software Developer,Medium,43148,996
8,Master,Software Developer,Small,39714,171
15,Bachelor,Business Analyst,Medium,58565,573
10,Bachelor,Data Analyst,Small,46465,476
1,MBA,QA Engineer,Medium,68836,1953
18,MBA,QA Engineer,Large,79111,4045
2,MBA,Data Scientist,Small,59950,259
19,Bachelor,QA Engineer,Small,65696,304
13,Master,Data Analyst,Small,55607,326
1,PhD,QA Engineer,Medium,46769,1798
2,MBA,Business Analyst,Small,52479,406
16,MBA,Project Manager,Small,75510,237
15,MBA,QA Engineer,Medium,75922,646
13,Master,Software Developer,Medium,53995,984
16,PhD,Software Developer,Large,74253,4542
17,PhD,Project Manager,Medium,58624,1948
7,MBA,Software Developer,Small,68342,348
17,Bachelor,Software Developer,Small,51143,487
7,MBA,Business Analyst,Large,68478,3289
13,MBA,Business Analyst,Large,72287,4938
5,Bachelor,Business Analyst,Small,42747,208
17,Bachelor,QA Engineer,Medium,59220,770
3,MBA,Project Manager,Small,63551,262
7,Master,Software Developer,Large,47979,8760
17,Master,Data Scientist,Small,63238,124
7,Bachelor,Project Manager,Small,48003,494
1,MBA,Data Scientist,Small,65033,129
17,Master,Software Developer,Large,63995,6911
17,MBA,Data Analyst,Large,74530,5141
11,MBA,Project Manager,Large,78607,9064
3,MBA,QA Engineer,Medium,66130,855
15,Master,Data Scientist,Large,63984,7323
11,PhD,Project Manager,Medium,62648,1061
16,MBA,Project Manager,Medium,74970,1300
9,Master,Business Analyst,Large,44098,7991
1,PhD,Data Analyst,Medium,55240,554
16,Bachelor,Business Analyst,Medium,39846,620
9,Master,Data Analyst,Small,52881,122
19,PhD,Data Analyst,Medium,69376,1865
12,Master,QA Engineer,Medium,58066,1404
19,PhD,Project Manager,Large,69523,9976
9,PhD,Business Analyst,Small,59551,164
7,Master,Business Analyst,Medium,46800,1559
14,Bachelor,Data Scientist,Medium,53457,697
19,MBA,Project Manager,Medium,74936,1141
19,PhD,Software Developer,Large,70597,7478
2,MBA,Software Developer,Large,54268,4125
9,Bachelor,Data Scientist,Small,55681,328
13,MBA,Data Analyst,Medium,63699,1694
15,MBA,Data Scientist,Small,69314,152
3,Master,Data Scientist,Large,42728,4442
11,Master,Business Analyst,Medium,51765,1677
14,Bachelor,Data Scientist,Medium,56951,1080
8,Master,Data Analyst,Small,50605,72
18,PhD,Software Developer,Medium,65793,1802
19,Bachelor,QA Engineer,Large,56953,7899
16,Master,Project Manager,Small,63381,357
2,Master,Data Scientist,Small,32391,308
8,Bachelor,Project Manager,Medium,40035,1072
6,PhD,Data Scientist,Large,53500,3746
12,Bachelor,Project Manager,Medium,51489,1844
15,Master,Business Analyst,Small,58797,226
8,Master,Business Analyst,Small,51779,119
4,Bachelor,Project Manager,Large,40135,8825
15,PhD,Data Scientist,Small,69586,197
20,PhD,Data Scientist,Large,70529,8363
17,MBA,Data Analyst,Medium,72680,1878
13,PhD,Software Developer,Large,57432,9220
18,Bachelor,Software Developer,Medium,56040,1906
2,PhD,QA Engineer,Medium,49687,540
13,PhD,Software Developer,Small,61865,256
13,MBA,QA Engineer,Medium,63328,852
15,PhD,Business Analyst,Small,67328,159
20,MBA,QA Engineer,Large,79882,6818
10,MBA,QA Engineer,Large,70920,5996
3,PhD,Software Developer,Medium,50405,1293
19,Master,Data Scientist,Large,58692,4604
3,Bachelor,Business Analyst,Medium,39022,1484
14,Bachelor,Data Analyst,Large,62145,3122
8,PhD,QA Engineer,Medium,53985,1604
4,Bachelor,QA Engineer,Medium,39250,1923
20,Bachelor,Project Manager,Large,55423,5094
11,MBA,QA Engineer,Large,68740,9099
11,Master,Data Scientist,Large,49847,3103
11,Bachelor,Data Analyst,Large,47735,5573
2,Master,Project Manager,Medium,48921,1650
17,Bachelor,Software Developer,Medium,59968,799
9,Master,Business Analyst,Large,51098,6836
2,Master,Data Scientist,Large,42977,4619
15,Bachelor,Data Analyst,Small,57879,79
16,MBA,Business Analyst,Medium,65396,657
4,Master,Software Developer,Medium,43245,629
8,Master,Business Analyst,Large,57649,7140
9,Bachelor,Project Manager,Small,50496,465
5,Master,QA Engineer,Large,45787,5642
16,Master,QA Engineer,Medium,50157,1335
13,MBA,Data Scientist,Medium,62026,1728
7,Master,Business Analyst,Small,40574,297
20,MBA,QA Engineer,Large,74192,9335
17,Master,Data Scientist,Small,56721,119
3,Master,Data Scientist,Large,49500,6352
5,MBA,Project Manager,Small,54709,464
19,MBA,Data Scientist,Large,74740,3779
12,PhD,Software Developer,Large,65034,6324
7,Master,QA Engineer,Large,49802,8040
9,MBA,QA Engineer,Medium,68722,1049
6,Master,Data Analyst,Large,47750,5087
17,Master,Software Developer,Medium,67003,1988
16,Master,QA Engineer,Small,63171,449
3,Bachelor,Project Manager,Large,33931,8141
4,PhD,QA Engineer,Medium,49365,1674
10,Bachelor,Data Analyst,Small,48801,78
5,PhD,Business Analyst,Large,54125,7408
10,Master,Business Analyst,Small,58012,327
12,Master,Software Developer,Medium,61201,528
10,MBA,Data Scientist,Medium,73125,995
13,PhD,Data Analyst,Large,62926,5032
11,PhD,Data Analyst,Medium,66515,1580
16,Bachelor,QA Engineer,Medium,61187,700
8,PhD,Project Manager,Small,58385,217
8,Master,QA Engineer,Large,42329,3045
8,MBA,Project Manager,Large,60420,9362
13,Bachelor,Data Analyst,Large,48997,3482
2,MBA,Data Scientist,Small,56184,461
12,PhD,Business Analyst,Medium,58592,1744
10,PhD,Software Developer,Large,58018,2554
12,Bachelor,Project Manager,Large,52883,2062
11,PhD,Business Analyst,Small,62353,134
15,MBA,Software Developer,Small,71397,441
16,Master,Data Scientist,Large,62628,6996
17,Bachelor,Data Analyst,Large,59091,3387
2,PhD,Data Scientist,Small,52584,114
18,MBA,Project Manager,Small,77842,207
12,Master,Data Analyst,Small,56932,491
19,PhD,QA Engineer,Small,70669,307
18,Bachelor,Software Developer,Medium,56023,853
17,PhD,QA Engineer,Medium,71592,1348
6,PhD,Data Analyst,Large,59854,5608
15,PhD,Software Developer,Medium,61964,1237
3,Master,Software Developer,Small,56240,73
6,Master,QA Engineer,Large,42780,7413
3,PhD,Software Developer,Small,51284,482
1,PhD,Data Analyst,Medium,52256,1413
13,Bachelor,Project Manager,Small,52934,317
14,PhD,Project Manager,Large,59932,4740
13,MBA,Data Analyst,Medium,72654,1274
4,MBA,QA Engineer,Large,68325,4703
7,Bachelor,Data Scientist,Medium,43363,586
10,Master,Data Analyst,Small,45880,310
7,PhD,Project Manager,Large,49351,3759
15,Bachelor,Data Analyst,Medium,59558,1624
15,Master,Software Developer,Medium,57238,879
4,Bachelor,Software Developer,Medium,40641,615
6,Master,Data Analyst,Medium,49766,1931
20,PhD,QA Engineer,Small,59057,275
5,Bachelor,Data Scientist,Small,47190,63
20,PhD,Software Developer,Medium,81037,1735
12,Bachelor,Project Manager,Small,48359,253
1,Master,Software Developer,Small,41607,304
8,Bachelor,Project Manager,Medium,49115,920
1,MBA,Data Scientist,Small,54852,332
5,MBA,Software Developer,Large,67453,2604
6,Bachelor,QA Engineer,Large,45771,7701
3,MBA,Project Manager,Small,65892,115
15,PhD,Software Developer,Medium,60178,715
5,MBA,Software Developer,Large,63768,3493
14,MBA,Data Analyst,Small,74871,226
18,PhD,QA Engineer,Small,73148,94
16,PhD,QA Engineer,Medium,66561,1008
6,Master,Data Analyst,Medium,43601,1363
14,PhD,Project Manager,Small,57423,87
8,Bachelor,Business Analyst,Medium,42875,1428
7,MBA,Data Scientist,Large,61221,5016
8,Master,QA Engineer,Large,48490,8537
13,PhD,Business Analyst,Small,62657,363
6,MBA,Project Manager,Small,56798,405
18,Bachelor,Data Scientist,Medium,52458,1909
2,Bachelor,QA Engineer,Large,36100,4486
8,Master,Software Developer,Medium,52601,1263
11,Bachelor,QA Engineer,Small,45962,377
1,MBA,Data Scientist,Small,59170,115
6,PhD,Business Analyst,Small,63854,154
16,Bachelor,Software Developer,Small,55062,155
20,PhD,Data Scientist,Small,80152,359
12,MBA,Project Manager,Small,76349,206
11,MBA,Data Scientist,Medium,71867,704
10,PhD,QA Engineer,Medium,57608,1169
3,MBA,Project Manager,Medium,58407,1456
13,Master,Data Analyst,Large,61129,7628
3,Bachelor,Data Analyst,Medium,39924,1493
15,Master,Software Developer,Small,68594,394
16,Master,Data Scientist,Medium,58610,1496
13,Master,Business Analyst,Medium,55980,895
17,PhD,Software Developer,Large,77811,7614
3,PhD,Project Manager,Small,46581,290
20,MBA,Software Developer,Large,90310,6454
11,PhD,QA Engineer,Large,50338,6435
19,MBA,Project Manager,Large,74552,3860
11,PhD,Business Analyst,Medium,55563,1479
16,MBA,Data Scientist,Small,66841,53
3,Bachelor,Project Manager,Small,36151,488
6,MBA,Data Scientist,Large,60895,6934
14,Bachelor,Data Scientist,Small,53717,187
18,MBA,Software Developer,Small,67212,426
17,PhD,QA Engineer,Large,77399,2359
4,PhD,Software Developer,Medium,49996,1828
15,Bachelor,Data Analyst,Large,55049,5893
11,Master,Data Analyst,Large,51127,6919
3,Master,Data Scientist,Medium,44622,832
3,MBA,QA Engineer,Medium,60926,933
16,PhD,Project Manager,Medium,70582,1458
5,Master,Data Scientist,Medium,38229,1399
10,PhD,Project Manager,Large,68990,3485
19,PhD,Data Scientist,Medium,58180,1372
4,PhD,Software Developer,Small,54030,93
19,MBA,Data Scientist,Large,80232,5384
11,Bachelor,Data Scientist,Large,45640,7774
2,MBA,QA Engineer,Medium,57820,1727
10,Master,QA Engineer,Medium,53969,807
11,Bachelor,Project Manager,Small,44849,258
20,Master,QA Engineer,Medium,51452,946
16,Bachelor,Data Scientist,Large,52800,5024
19,Bachelor,QA Engineer,Medium,68188,1090
11,MBA,QA Engineer,Small,63906,498
14,PhD,Business Analyst,Large,62009,3405
2,PhD,Business Analyst,Large,47924,8355
5,Bachelor,Data Analyst,Medium,39508,1855
5,MBA,Software Developer,Small,54323,436
19,Master,Software Developer,Small,67933,111
12,Master,QA Engineer,Medium,56966,961
18,PhD,Data Analyst,Large,68012,5087
4,PhD,Data Analyst,Large,46845,5816
17,Master,Project Manager,Large,58024,7780
10,Master,Business Analyst,Medium,55410,1673
20,MBA,Data Analyst,Large,81904,3866
6,Master,Data Scientist,Large,47756,5139
14,MBA,Project Manager,Medium,75362,959
11,PhD,QA Engineer,Large,71392,7784
11,Master,Data Scientist,Medium,59709,1763
18,PhD,Software Developer,Small,63124,399
18,Bachelor,Business Analyst,Small,66053,54
11,Bachelor,Data Scientist,Medium,47963,1737
12,Bachelor,QA Engineer,Medium,54164,852
5,Master,Data Scientist,Medium,45532,1453
9,PhD,Data Scientist,Large,49966,8977
9,Master,Data Analyst,Large,52934,7441
10,PhD,Business Analyst,Medium,66749,1473
19,MBA,Software Developer,Medium,73774,1472
1,Master,QA Engineer,Large,40066,5802
7,Bachelor,Project Manager,Large,54632,6702
4,MBA,Project Manager,Medium,67223,1499
1,PhD,QA Engineer,Large,53669,6398
15,Master,Software Developer,Large,62396,6295
8,PhD,QA Engineer,Small,59077,93
12,PhD,Data Analyst,Medium,57990,1219
18,Master,Project Manager,Medium,60000,1489
15,Master,Project Manager,Large,65594,8255
17,PhD,Data Scientist,Small,67594,444
14,PhD,Data Analyst,Medium,55909,756
14,MBA,Project Manager,Medium,73310,1039
18,Bachelor,Data Analyst,Large,47781,6423
20,PhD,Data Analyst,Medium,68480,1234
18,Bachelor,Software Developer,Large,48880,7764
16,MBA,Project Manager,Small,75165,122
1,Bachelor,Business Analyst,Small,38439,224
11,Bachelor,Software Developer,Medium,56599,1111
15,MBA,Software Developer,Large,76893,5989
12,PhD,Data Analyst,Small,59961,63
8,Bachelor,Business Analyst,Medium,41036,1955
20,PhD,Software Developer,Medium,74248,864
6,PhD,Business Analyst,Medium,46745,1637
3,Master,Project Manager,Large,52176,7482
13,PhD,Data Analyst,Large,65731,8852
13,PhD,Software Developer,Small,57734,68
2,Bachelor,Business Analyst,Large,34331,6519
5,PhD,QA Engineer,Large,51361,9727
17,PhD,Software Developer,Medium,67948,810
6,Master,Software Developer,Medium,49704,1117
2,Master,Software Developer,Small,42048,62
4,Bachelor,Business Analyst,Medium,42431,856
11,Bachelor,Data Scientist,Medium,46853,629
8,Master,Project Manager,Medium,57815,1428
12,Master,Software Developer,Large,59226,6037
8,MBA,QA Engineer,Medium,71064,1828
11,PhD,QA Engineer,Small,63020,433
20,Bachelor,Data Analyst,Small,65853,70
8,Bachelor,Data Scientist,Medium,34985,1175
8,PhD,Data Scientist,Medium,57511,1169
17,PhD,Business Analyst,Small,75931,496
20,Bachelor,Data Analyst,Large,65044,4725
20,Master,Business Analyst,Medium,68067,743
16,Master,Data Analyst,Small,56733,344
14,PhD,Project Manager,Large,68228,2326
11,Bachelor,Data Scientist,Small,51590,284
7,PhD,Project Manager,Large,49873,6369
16,Master,Business Analyst,Small,65436,115
13,MBA,Data Analyst,Small,70699,335
15,MBA,Data Scientist,Large,69068,2536
16,Master,Data Scientist,Medium,54080,981
9,PhD,Software Developer,Small,56212,200
3,MBA,Business Analyst,Medium,60900,1669
19,Master,Software Developer,Small,61565,241
20,Bachelor,Data Scientist,Large,55505,2578
5,PhD,Business Analyst,Medium,50559,1431
10,PhD,Business Analyst,Large,60916,7208
17,MBA,Project Manager,Large,81168,6089
15,PhD,QA Engineer,Medium,66305,1547
8,MBA,Data Analyst,Medium,74476,1129
15,MBA,QA Engineer,Medium,69522,628
14,Master,QA Engineer,Large,54580,6500
20,MBA,Data Scientist,Large,82793,6190
7,Bachelor,Project Manager,Large,43580,7997
12,PhD,Data Analyst,Medium,68093,673
17,MBA,QA Engineer,Small,69603,204
17,PhD,QA Engineer,Medium,69850,1035
10,MBA,Business Analyst,Small,71444,178
19,Master,Data Scientist,Large,54736,9472
14,Bachelor,QA Engineer,Small,46227,376
11,PhD,Data Analyst,Medium,58098,776
2,Master,Software Developer,Medium,36632,1216
18,PhD,Software Developer,Medium,69155,1918
7,Master,Data Scientist,Small,52822,499
12,Bachelor,Software Developer,Medium,47733,601
2,MBA,Business Analyst,Small,62104,200
20,Master,Business Analyst,Large,59853,3449
18,PhD,Data Analyst,Small,65658,144
6,PhD,Project Manager,Large,51779,2591
10,Master,Data Scientist,Small,51950,420
20,Bachelor,Data Scientist,Large,51762,6403
15,Bachelor,Software Developer,Medium,46719,1709
5,MBA,QA Engineer,Small,53980,206
20,MBA,QA Engineer,Large,81174,2319
3,PhD,Project Manager,Medium,53282,1785
5,PhD,QA Engineer,Medium,38471,1446
8,MBA,Project Manager,Large,73813,4901
8,MBA,Data Analyst,Large,55816,7234
8,MBA,Data Scientist,Small,70115,447
12,Master,Software Developer,Large,60676,3148
8,MBA,Data Analyst,Large,71293,8876
11,Master,Business Analyst,Medium,50951,1277
14,Master,Business Analyst,Large,58348,7835
8,MBA,Business Analyst,Large,64675,7749
10,Bachelor,Project Manager,Large,57022,6525
7,Bachelor,Project Manager,Medium,43075,1459
17,PhD,Data Scientist,Medium,75339,832
4,MBA,Business Analyst,Medium,55730,867
13,PhD,Project Manager,Medium,60486,1481
4,MBA,Project Manager,Small,59290,365
5,PhD,QA Engineer,Medium,54094,1796
4,Master,Project Manager,Medium,45532,1014
18,MBA,Business Analyst,Small,74634,476
6,Bachelor,Data Analyst,Small,32643,54
2,MBA,Business Analyst,Small,52082,415
11,PhD,QA Engineer,Large,63957,3066
14,PhD,Business Analyst,Medium,69192,1263
5,PhD,Software Developer,Large,52583,2830
6,PhD,QA Engineer,Small,51149,82
10,PhD,Data Scientist,Small,51577,142
8,PhD,Business Analyst,Small,64530,375
14,Bachelor,Project Manager,Small,55499,56
3,PhD,Data Analyst,Large,45452,6480
12,Bachelor,Business Analyst,Small,52077,478
16,MBA,Data Analyst,Medium,75561,1681
17,Master,Software Developer,Medium,66589,981
1,Bachelor,Data Scientist,Medium,38047,1696
10,MBA,Project Manager,Large,67553,3689
10,Master,QA Engineer,Small,56078,315
2,Bachelor,QA Engineer,Large,43307,2713
9,Bachelor,Data Scientist,Medium,46850,1399
13,MBA,Software Developer,Small,65997,298
16,PhD,Software Developer,Large,70093,5864
18,Bachelor,Business Analyst,Small,60713,122
19,Bachelor,Software Developer,Small,60388,194
12,MBA,Business Analyst,Large,72493,5070
8,PhD,Data Analyst,Medium,55045,1940
17,Master,Data Scientist,Large,62069,2088
15,PhD,Data Analyst,Large,70802,9786
10,PhD,Data Analyst,Medium,62133,1426
15,MBA,Data Analyst,Large,78732,3667
15,PhD,Data Analyst,Small,70635,277
7,MBA,QA Engineer,Medium,73512,999
13,Master,Software Developer,Large,62308,5921
17,Bachelor,Data Scientist,Small,53679,183
9,Bachelor,Data Scientist,Medium,44565,1048
8,MBA,Project Manager,Large,56433,8203
20,MBA,Data Analyst,Medium,75990,1351
18,PhD,Data Scientist,Small,71997,104
13,PhD,Business Analyst,Small,68160,434
16,Bachelor,Data Scientist,Medium,50529,1508
9,Bachelor,Data Analyst,Small,50872,316
12,Bachelor,Data Scientist,Small,51157,412
12,MBA,Software Developer,Medium,76126,1269
6,Master,Data Analyst,Medium,54118,1241
19,Master,QA Engineer,Large,65801,7418
7,MBA,Software Developer,Large,62755,6679
3,PhD,Data Scientist,Medium,53143,1550
16,Master,QA Engineer,Small,65142,450
18,PhD,Project Manager,Small,75830,362
16,Bachelor,Software Developer,Medium,53790,1189
7,Bachelor,Project Manager,Medium,50937,1729
4,PhD,Business Analyst,Medium,52091,1291
8,Bachelor,Software Developer,Small,58847,301
13,MBA,QA Engineer,Large,69096,3286
13,PhD,Project Manager,Large,59356,4437
17,PhD,Business Analyst,Small,72879,216
17,PhD,Project Manager,Large,72301,3961
5,Master,Data Scientist,Medium,41116,1323
6,PhD,Data Analyst,Medium,54846,1813
19,PhD,Project Manager,Small,73774,250
13,PhD,Data Scientist,Small,63817,193
14,Master,Data Analyst,Medium,62555,1092
4,Bachelor,Data Analyst,Medium,42888,1172
7,Master,QA Engineer,Small,53580,102
8,MBA,Business Analyst,Small,66879,140
13,PhD,Business Analyst,Medium,68680,1034
6,MBA,Software Developer,Medium,68362,1659
6,Master,Data Scientist,Large,49130,6523
3,Bachelor,QA Engineer,Large,39525,4708
3,Bachelor,Project Manager,Medium,37880,1266
13,PhD,Data Scientist,Small,62280,310
2,Bachelor,Project Manager,Large,40007,9169
16,Master,Project Manager,Large,63885,9564
6,Master,Project Manager,Medium,54044,1331
8,Bachelor,Software Developer,Small,37093,407
8,PhD,Software Developer,Small,46156,313
6,PhD,QA Engineer,Medium,54484,1798
14,Master,Software Developer,Small,58473,491
3,Bachelor,QA Engineer,Medium,29864,895
10,Master,Software Developer,Small,54130,446
3,Master,Business Analyst,Medium,39009,503
12,MBA,QA Engineer,Small,71077,52
17,Master,Business Analyst,Medium,51813,1746
5,PhD,Business Analyst,Medium,51223,946
20,Bachelor,QA Engineer,Small,61319,76
9,Bachelor,Data Scientist,Medium,49691,1695
20,MBA,Data Analyst,Large,80536,7663
7,MBA,Software Developer,Small,58970,99
4,PhD,Project Manager,Medium,54733,1899
13,MBA,Software Developer,Small,67323,406
13,Master,Project Manager,Small,58889,359
10,Master,Data Scientist,Medium,61368,1642
18,PhD,Data Analyst,Large,68040,7836
17,Bachelor,Data Scientist,Small,66826,430
20,PhD,Data Analyst,Large,75065,7660
20,MBA,QA Engineer,Large,78784,8276
13,Bachelor,QA Engineer,Medium,61085,648
17,Bachelor,Project Manager,Medium,56409,1722
4,Bachelor,Business Analyst,Small,36430,105
1,MBA,Business Analyst,Medium,54123,1157
1,Master,Project Manager,Small,42597,197
15,Master,QA Engineer,Small,55534,146
13,MBA,Project Manager,Large,69796,6725
17,MBA,Business Analyst,Medium,73392,1818
8,PhD,Project Manager,Medium,60468,1342
18,PhD,QA Engineer,Small,79519,446
13,Master,Data Scientist,Large,55962,9001
14,MBA,Software Developer,Medium,68333,1044
8,PhD,QA Engineer,Large,57244,5580
8,MBA,Project Manager,Large,60730,2997
15,MBA,QA Engineer,Small,89672,165
13,Master,QA Engineer,Medium,62043,955
7,Master,Business Analyst,Medium,57166,922
5,MBA,Project Manager,Medium,66205,1682
17,Bachelor,Business Analyst,Large,50470,9519
16,Bachelor,Project Manager,Medium,57281,744
2,MBA,Business Analyst,Small,60495,171
18,Master,Business Analyst,Large,68052,9791
17,Bachelor,Data Scientist,Medium,58217,1294
7,Master,QA Engineer,Large,45259,8609
13,Bachelor,Data Scientist,Large,61893,4576
18,MBA,Business Analyst,Large,81878,6494
14,PhD,Data Scientist,Small,63180,99
18,PhD,QA Engineer,Medium,69629,1894
13,Master,QA Engineer,Medium,59116,1231
11,Master,Business Analyst,Large,52587,9611
16,Bachelor,QA Engineer,Medium,55842,970
17,MBA,Data Scientist,Large,78104,9886
8,Bachelor,Data Analyst,Large,44743,8894
19,MBA,QA Engineer,Large,82465,3987
20,MBA,Data Scientist,Small,78477,155
15,Master,Data Scientist,Medium,55929,1180
9,PhD,Data Scientist,Large,63806,6808
20,PhD,QA Engineer,Medium,75217,1294
10,Master,Data Analyst,Small,52906,393
12,PhD,Business Analyst,Small,59158,389
20,Master,Business Analyst,Large,69296,3963
1,Bachelor,QA Engineer,Small,36955,332
20,MBA,QA Engineer,Small,78844,67
9,PhD,Software Developer,Small,55926,461
15,PhD,Project Manager,Small,60063,402
1,Bachelor,Data Analyst,Small,42277,491
12,Bachelor,Data Scientist,Small,46055,176
3,PhD,Project Manager,Medium,44757,1930
11,PhD,Data Scientist,Small,60755,81
2,Master,Project Manager,Medium,44864,1933
16,Master,Business Analyst,Large,67770,8637
9,PhD,Project Manager,Small,60374,56
15,Master,QA Engineer,Small,48888,448
12,Bachelor,Data Analyst,Medium,45506,1728
1,MBA,Business Analyst,Small,64824,383
13,Master,Project Manager,Medium,56480,1170
14,MBA,Data Analyst,Medium,67470,654
8,Master,QA Engineer,Small,43889,468
8,PhD,Data Scientist,Large,60579,4336
12,Master,Software Developer,Large,50807,5962
1,MBA,Data Analyst,Large,56705,7385
11,MBA,Data Scientist,Medium,67258,768
8,PhD,Data Analyst,Medium,66412,1962
10,MBA,Data Analyst,Small,62572,229
19,PhD,Data Analyst,Medium,77777,1069
11,PhD,QA Engineer,Large,72428,2174
7,MBA,Business Analyst,Small,59154,292
11,Bachelor,Data Analyst,Large,42050,6458
17,MBA,QA Engineer,Small,77935,89
1,MBA,Software Developer,Large,57537,5712
8,Master,Business Analyst,Small,57370,272
6,MBA,QA Engineer,Large,57236,8695
18,Master,Software Developer,Medium,63722,1264
6,Master,Business Analyst,Large,50424,3908
5,MBA,QA Engineer,Small,62582,420
13,PhD,Software Developer,Large,61577,2584
19,Bachelor,QA Engineer,Medium,58566,1826
8,MBA,Software Developer,Small,81088,99
9,MBA,Data Analyst,Medium,58313,597
17,PhD,Data Analyst,Large,79816,7141
3,Master,Business Analyst,Small,42129,400
19,PhD,Software Developer,Large,65084,8169
11,PhD,Data Analyst,Small,55819,139
17,Master,Business Analyst,Medium,60711,1570
19,MBA,Data Scientist,Medium,79471,1311
2,PhD,Data Analyst,Medium,50793,1727
8,PhD,Data Analyst,Large,55641,3314
19,MBA,Project Manager,Small,86885,287
7,MBA,QA Engineer,Medium,58719,1912
17,Bachelor,Data Scientist,Large,54580,4592
6,PhD,Software Developer,Large,55049,6617
19,Bachelor,Business Analyst,Small,58578,247
6,Master,Data Scientist,Medium,42647,1113
2,MBA,Software Developer,Large,58889,5772
6,MBA,Data Analyst,Medium,65156,505
5,Bachelor,Project Manager,Small,44047,292
19,PhD,Business Analyst,Medium,72970,845
20,Master,Business Analyst,Medium,61305,962
4,PhD,Data Scientist,Large,47243,3445
17,PhD,QA Engineer,Large,63883,3658
11,Bachelor,Software Developer,Small,45203,460
4,PhD,Project Manager,Small,41095,465
13,Bachelor,Project Manager,Small,50537,317
20,MBA,Data Scientist,Large,79317,9058
17,MBA,QA Engineer,Small,71266,237
9,MBA,QA Engineer,Small,69268,160
4,Master,QA Engineer,Large,44592,6291
14,Master,Business Analyst,Small,60160,335
19,PhD,Software Developer,Large,68039,6946
3,Bachelor,Software Developer,Small,36871,457
14,PhD,Data Scientist,Large,68845,9302
8,MBA,Data Analyst,Medium,58008,1788
1,PhD,Data Scientist,Large,49140,3675
10,PhD,Software Developer,Large,62095,6698
18,PhD,Business Analyst,Large,75177,5487
16,MBA,Data Scientist,Small,76823,137
8,Bachelor,Data Analyst,Large,40524,9962
1,PhD,Project Manager,Large,46569,7560
12,MBA,Data Scientist,Small,61240,263
8,Master,QA Engineer,Medium,47247,1600
16,Bachelor,Data Analyst,Large,60571,3620
18,MBA,QA Engineer,Small,84178,309
